# rlawt per-frame CSV, CLOCK_MONOTONIC ns / microseconds
# mkcur_cumulative is the per-window makeCurrent counter — diff rows for per-frame
frame,t_post_swap_ns,swap_us,gap_us,finish_us,xsync_us,gpu_us,mkcur_cumulative
486,233481197416299,26951,15641,0,0,0,0
487,233481239171068,24577,17177,0,0,0,0
488,233481277820299,26302,12347,0,0,0,0
489,233481323097914,26803,18474,0,0,0,0
490,233481373480683,28431,21951,0,0,0,0
491,233481416439068,27247,15711,0,0,0,0
492,233481457817837,28263,13115,0,0,0,0
493,233481498649222,25529,15301,0,0,0,0
494,233481543280068,27667,16963,0,0,0,0
495,233481585005606,27275,14450,0,0,0,0
496,233481624944683,26667,13271,0,0,0,0
497,233481664786453,25242,14599,0,0,0,0
498,233481703412376,26212,12413,0,0,0,0
499,233481746928991,28755,14761,0,0,0,0
500,233481788479453,26329,15220,0,0,0,0
501,233481830724683,28899,13345,0,0,0,0
502,233481874227376,28045,15456,0,0,0,0
503,233481917778760,27450,16101,0,0,0,0
504,233481964186837,26904,19503,0,0,0,0
505,233482004602530,26918,13497,0,0,0,0
506,233482048922222,32005,12314,0,0,0,0
507,233482089625914,26760,13943,0,0,0,0
508,233482127381530,25745,12009,0,0,0,0
509,233482174596991,26366,20848,0,0,0,0
510,233482219606760,29893,15116,0,0,0,0
511,233482259989837,26130,14252,0,0,0,0
512,233482305040914,26450,18600,0,0,0,0
513,233482343467376,25404,13021,0,0,0,0
514,233482386192914,27418,15307,0,0,0,0
515,233482426658145,27676,12789,0,0,0,0
516,233482472083683,32487,12937,0,0,0,0
517,233482512307068,27587,12635,0,0,0,0
518,233482556313914,26542,17464,0,0,0,0
519,233482599239145,26638,16286,0,0,0,0
520,233482637978453,26424,12314,0,0,0,0
521,233482679131453,26722,14430,0,0,0,0
522,233482719121299,26008,13981,0,0,0,0
523,233482760993530,27069,14802,0,0,0,0
524,233482800968683,27749,12225,0,0,0,0
525,233482840614145,26416,13229,0,0,0,0
526,233482883776299,29497,13665,0,0,0,0
527,233482927096068,28916,14403,0,0,0,0
528,233482971825607,30419,14309,0,0,0,0
529,233483010271145,27479,10967,0,0,0,0
530,233483054173530,29170,14731,0,0,0,0
531,233483095444068,28167,13102,0,0,0,0
532,233483139657530,30101,14112,0,0,0,0
533,233483182845530,29966,13221,0,0,0,0
534,233483230750222,37086,10818,0,0,0,0
535,233483283524991,31370,21404,0,0,0,0
536,233483326584683,29132,13927,0,0,0,0
537,233483369803453,28834,14384,0,0,0,0
538,233483415933914,30189,15940,0,0,0,0
539,233483459280068,29507,13838,0,0,0,0
540,233483505960914,32100,14580,0,0,0,0
541,233483544076683,26154,11961,0,0,0,0
542,233483584799683,28301,12421,0,0,0,0
543,233483627456376,27835,14821,0,0,0,0
544,233483668363376,27089,13817,0,0,0,0
545,233483711119145,29332,13423,0,0,0,0
546,233483752960991,29859,11982,0,0,0,0
547,233483794909914,28036,13912,0,0,0,0
548,233483840067760,31416,13741,0,0,0,0
549,233483881743991,27735,13940,0,0,0,0
550,233483922059760,28998,11317,0,0,0,0
551,233483962901837,28123,12719,0,0,0,0
552,233484004862760,29023,12938,0,0,0,0
553,233484047154145,29595,12696,0,0,0,0
554,233484086708914,26720,12834,0,0,0,0
555,233484131052684,30899,13444,0,0,0,0
556,233484173558222,30494,12011,0,0,0,0
557,233484215267991,29264,12445,0,0,0,0
558,233484260155376,28691,16195,0,0,0,0
559,233484302482837,28388,13938,0,0,0,0
560,233484343523453,26443,14596,0,0,0,0
561,233484384327760,28020,12783,0,0,0,0
562,233484425036607,28930,11778,0,0,0,0
563,233484465244991,27001,13206,0,0,0,0
564,233484506241914,29502,11494,0,0,0,0
565,233484547794760,30448,11104,0,0,0,0
