04-26 13:04:41.524  9219  9267 I RLT     : +1139ms [STATE] S26 attachSurface: 720x1280 attach=30 fd_count=116 remote_pid=9186 | thread=binder:9219_4
04-26 13:04:41.556  9186  9186 I RLT     : +1514ms [LIFECYCLE] S26 surfaceChanged: 1366x768 format=1 | thread=main
04-26 13:04:41.561  9219  9237 I RLT     : +1176ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=30 fd_count=116 | thread=binder:9219_2
04-26 13:04:41.562  9219  9237 I RLT     : +1177ms [STATE] S26 attachSurface: 1366x768 attach=31 fd_count=116 remote_pid=9186 | thread=binder:9219_2
04-26 13:04:41.588  9186  9186 I RLT     : +1546ms [LIFECYCLE] S26 surfaceChanged: 1600x900 format=1 | thread=main
04-26 13:04:41.591  9219  9267 I RLT     : +1206ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=31 fd_count=116 | thread=binder:9219_4
04-26 13:04:41.592  9219  9267 I RLT     : +1206ms [STATE] S26 attachSurface: 1600x900 attach=32 fd_count=116 remote_pid=9186 | thread=binder:9219_4
04-26 13:04:41.613  9186  9186 I RLT     : +1571ms [LIFECYCLE] S26 surfaceChanged: 640x480 format=1 | thread=main
04-26 13:04:41.616  9219  9241 I RLT     : +1231ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=32 fd_count=116 | thread=binder:9219_3
04-26 13:04:41.617  9219  9241 I RLT     : +1231ms [STATE] S26 attachSurface: 640x480 attach=33 fd_count=116 remote_pid=9186 | thread=binder:9219_3
04-26 13:04:41.648  9186  9186 I RLT     : +1606ms [LIFECYCLE] S26 surfaceChanged: 800x600 format=1 | thread=main
04-26 13:04:41.653  9219  9267 I RLT     : +1267ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=33 fd_count=116 | thread=binder:9219_4
04-26 13:04:41.654  9219  9267 I RLT     : +1268ms [STATE] S26 attachSurface: 800x600 attach=34 fd_count=116 remote_pid=9186 | thread=binder:9219_4
04-26 13:04:41.680  9186  9186 I RLT     : +1638ms [LIFECYCLE] S26 surfaceChanged: 960x540 format=1 | thread=main
